,GRB,z,P_bolo,P_bolo_err,S_bolo,S_bolo_err,F_beam,F_beam_err,T_lag,T_lag_err,V,V_err,E_peak,E_peak_err_min,E_peak_err_max,T_RT,T_RT_err,mu,mu_err,dL,dL_err,L,L_err,E_iso,E_iso_err,E_gamma,E_gamma_err,E_peak_err,T_lag_i,T_lag_i_err,T_RT_i,T_RT_i_err,V_i,V_i_err,E_peak_i,E_peak_i_err,E_peak_i_err_min,E_peak_i_err_max,_T_lag_i,_T_lag_i_err,_V_i,_V_i_err,_E_peak_i,_E_peak_i_err,_E_peak_i_err_min,_E_peak_i_err_max,_T_RT_i,_T_RT_i_err,log_T_lag_i,log_T_lag_i_err,log_V_i,log_V_i_err,log_E_peak_i,log_E_peak_i_err,log_E_peak_i_err_min,log_E_peak_i_err_max,log_T_RT_i,log_T_RT_i_err,log_L,log_L_err,log_E_iso,log_E_iso_err,log_E_gamma,log_E_gamma_err
0,970228,0.7,7.3e-06,4.3e-07,,,,,,,0.016,0.01,115.0,38.0,38.0,,,43.237693786621094,1.3298711776733398,1.3706755913980727e+28,8.394405358098601e+27,1.7234634683157303e+52,2.1134352858683406e+52,,,,,38.0,,,,,0.0272,0.017,195.5,64.6,64.6,64.6,,,1.3599999999999999,0.8500000000000001,0.6516666666666666,0.21533333333333332,0.21533333333333332,0.21533333333333332,,,,,0.13353890837021748,0.27143405118953245,-0.18597449298777685,0.14350600271585712,0.14350600271585712,0.14350600271585712,,,52.23640208224525,0.5325632364051336,,,,
1,970508,0.84,3.3e-06,3.3e-07,8.09e-06,8.1e-07,0.0795,0.0204,0.49,0.02,0.018,0.004,389.0,40.0,40.0,0.65,0.07,43.66748046875,1.3689342737197876,1.67067516005574e+28,1.0532229084882003e+28,1.1574649130554138e+52,1.4639552208650496e+52,1.5421428107078885e+52,7.95633989028025e+51,1.2260035345127714e+51,7.0644484504572706e+50,40.0,0.266304347826087,0.010869565217391306,0.3532608695652174,0.038043478260869575,0.03312,0.007359999999999999,715.76,73.6,73.6,73.6,2.6630434782608696,0.10869565217391305,1.6559999999999997,0.36799999999999994,2.385866666666667,0.24533333333333332,0.24533333333333332,0.24533333333333332,3.532608695652174,0.38043478260869573,0.4253782570189772,0.017726305383806196,0.21906033244886125,0.09650988486738929,0.3776461696155818,0.04465753027282794,0.04465753027282794,0.04465753027282794,0.5480955336333191,0.04677017497419635,52.06350783485424,0.5492932589177404,52.18812459357909,0.22406449561628536,51.08849172223556,0.250248134965031
2,970828,0.96,1e-05,1.1e-06,0.000123,1.2e-05,0.00532,0.00144,,,0.052,0.005,298.0,30.0,30.0,0.36,0.14,43.945430755615234,1.3427356481552124,1.8988124598067368e+28,1.1741356545772411e+28,4.5307907972867903e+52,5.625373799058826e+52,2.843302388093241e+53,2.8676841742786496e+52,1.512636870465604e+51,4.3693507721972385e+50,30.0,,,0.1836734693877551,0.07142857142857144,0.10192,0.0098,584.08,58.8,58.8,58.8,,,5.096,0.49,1.9469333333333334,0.19599999999999998,0.19599999999999998,0.19599999999999998,1.836734693877551,0.7142857142857143,,,0.707229419327294,0.04175908479838959,0.2893510807130688,0.04372092099697165,0.04372092099697165,0.04372092099697165,0.2640464294108112,0.16889229851793125,52.65617400972245,0.5392146556484979,53.45382304980537,0.043801862860098274,51.17973468210042,0.1254488084295392
3,971214,3.42,7.5e-07,2.4e-08,,,,,0.03,0.05,0.048,0.002,190.0,20.0,20.0,,,45.683921813964844,1.4974751472473145,4.228441090735348e+28,2.915987058931176e+28,1.6851233499699228e+52,2.3247907025976778e+52,,,,,20.0,0.006787330316742082,0.011312217194570137,,,0.21216,0.00884,839.8,88.4,88.4,88.4,0.06787330316742081,0.11312217194570137,10.607999999999999,0.442,2.7993333333333332,0.2946666666666667,0.2946666666666667,0.2946666666666667,,,-1.1683010146294295,0.7238241365054198,1.0256335110606978,0.018095603412635494,0.4470546155822584,0.04571520862139493,0.04571520862139493,0.04571520862139493,,,52.22663169645399,0.5991512572276539,,,,
4,980703,0.97,1.2e-06,3.6e-08,2.83e-05,2.9e-06,0.0184,0.00267,0.69,0.02,0.024,0.001,254.0,25.0,25.0,3.0,0.19,44.093746185302734,1.3408952951431274,2.0330364204164457e+28,1.255410365355888e+28,6.232774688278255e+51,7.699811056677804e+51,7.4614011708238e+52,3.9208083017179966e+51,1.3728978154315792e+51,2.1187960711694933e+50,25.0,0.350253807106599,0.010152284263959392,1.5228426395939088,0.09644670050761421,0.04728,0.00197,500.38,49.25,49.25,49.25,3.5025380710659895,0.10152284263959391,2.364,0.09849999999999999,1.6679333333333333,0.16416666666666666,0.16416666666666666,0.16416666666666666,15.228426395939087,0.964467005076142,0.5443828645756623,0.012588245852268169,0.37364747220921773,0.01809560341263549,0.22217868806186852,0.0427455198723673,0.0427455198723673,0.0427455198723673,1.1826550285580695,0.027505317187205943,51.794681427645074,0.5365163383655958,52.87282039096014,0.02282125529846808,51.13763821396968,0.06702475826272151
5,990123,1.61,1.3e-05,5e-07,0.000311,3.1e-05,0.00241,0.00069,0.07,0.01,0.059,0.003,604.0,60.0,60.0,,,44.93043518066406,1.396711826324463,2.9887043649770723e+28,1.9223632377999897e+28,1.4592144849561041e+53,1.8780002401374208e+53,1.3375057613361283e+54,7.213747882504213e+52,3.223388884820069e+51,9.391112212814846e+50,60.0,0.02681992337164751,0.0038314176245210726,,,0.15399000000000002,0.007830000000000002,1576.4400000000003,156.60000000000002,156.60000000000002,156.60000000000002,0.2681992337164751,0.038314176245210725,7.6995000000000005,0.39150000000000007,5.254800000000001,0.5220000000000001,0.5220000000000001,0.5220000000000001,,,-0.5715424673240241,0.06204206884332168,0.886462523316444,0.02208277026626704,0.7205561912397505,0.04314183595065415,0.04314183595065415,0.04314183595065415,,,53.16411913204882,0.5589343785394225,54.12629566143054,0.023423382461419697,51.508312704005405,0.12652858090336774
6,990506,1.31,1.1e-05,1.5e-07,,,,,0.04,0.01,0.337,0.001,283.0,30.0,30.0,0.13,0.01,44.60634994506836,1.410976529121399,2.574340035241945e+28,1.6727513330519904e+28,9.160820439670875e+52,1.1905667456345157e+53,,,,,30.0,0.017316017316017316,0.004329004329004329,0.05627705627705628,0.004329004329004329,0.7784700000000001,0.00231,653.73,69.3,69.3,69.3,0.17316017316017315,0.04329004329004329,38.923500000000004,0.11549999999999999,2.1791,0.23099999999999998,0.23099999999999998,0.23099999999999998,0.5627705627705628,0.04329004329004329,-0.7615519885641819,0.10857362047581294,1.5902118850995017,0.0012887076614339814,0.3382771606967721,0.04603828430069806,0.04603828430069806,0.04603828430069806,-0.2496686275853075,0.033407267838711674,52.96193437066192,0.5644216818479186,,,,
7,990510,1.62,3.3e-06,1.2e-07,2.85e-05,2.9e-06,0.00213,0.000319,0.03,0.01,0.118,0.001,126.0,10.0,10.0,0.13,0.01,45.00643539428711,1.4709748029708862,3.095159261640055e+28,2.0966885257679823e+28,3.972736907451212e+52,5.384273284743391e+52,1.3095420062729531e+53,2.0601122296605874e+52,2.78932447336139e+50,6.058538049390562e+49,10.0,0.011450381679389311,0.003816793893129771,0.04961832061068702,0.003816793893129771,0.30916,0.0026200000000000004,330.12,26.200000000000003,26.200000000000003,26.200000000000003,0.11450381679389311,0.038167938931297704,15.457999999999998,0.131,1.1004,0.08733333333333335,0.08733333333333335,0.08733333333333335,0.4961832061068702,0.038167938931297704,-0.9411800366000831,0.14476482730108392,1.1891533029618897,0.003680461711044507,0.04155058171764594,0.03446781602406761,0.03446781602406761,0.03446781602406761,-0.3043579390129087,0.03340726783871167,52.599089805069084,0.5886018206333659,53.117119433879964,0.06832124278238026,50.4454990373187,0.09433071227028632
8,990705,0.84,6.6e-06,2.6e-07,0.000134,1.5e-05,0.00348,0.00096,,,0.097,0.004,189.0,15.0,15.0,0.62,0.37,43.723758697509766,1.3637126684188843,1.7145401564342694e+28,1.0767533225822466e+28,2.43808656898163e+52,3.0638054141703274e+52,2.6902470375785447e+53,1.670889793102301e+52,9.362059690773335e+50,2.6472857102107478e+50,15.0,,,0.33695652173913043,0.20108695652173914,0.17848,0.007359999999999999,347.76,27.599999999999998,27.599999999999998,27.599999999999998,,,8.924,0.36799999999999994,1.1592,0.092,0.092,0.092,3.369565217391304,2.010869565217391,,,0.9505595616118001,0.017909050800134094,0.06415837246311817,0.0344678160240676,0.0344678160240676,0.0344678160240676,0.5275738664887174,0.25917573920032766,52.38704912202213,0.5457532976588517,53.42979216183553,0.026973664755559054,50.971371405782115,0.12280434155946829
9,991208,0.71,2.1e-05,2.1e-06,,,,,,,0.023,0.003,190.0,20.0,20.0,0.27,0.01,43.377105712890625,1.336119532585144,1.4615613985702055e+28,8.993071816819189e+27,5.637197976527665e+52,6.960067401767349e+52,,,,,20.0,,,0.15789473684210528,0.0058479532163742695,0.03933,0.00513,324.9,34.2,34.2,34.2,,,1.9665,0.2565,1.083,0.114,0.114,0.114,1.5789473684210527,0.058479532163742694,,,0.29369395074576554,0.05664710633520676,0.03462845662532034,0.04571520862139493,0.04571520862139493,0.04571520862139493,0.19836765376683346,0.01608498081123155,52.75106328736653,0.5362094570473399,,,,
10,991216,1.02,4.1e-05,3.8e-07,0.000248,2.5e-05,0.003,0.000946,0.03,0.01,0.062,0.003,318.0,30.0,30.0,0.09,0.01,44.168941497802734,1.3039945363998413,2.1046710207218093e+28,1.2638795224442694e+28,2.282244469394201e+53,2.741110519204135e+53,6.834057334095169e+53,1.3617163720728997e+53,2.0502172002285507e+51,7.647542358177145e+50,30.0,0.01485148514851485,0.0049504950495049506,0.04455445544554455,0.0049504950495049506,0.12524,0.00606,642.36,60.6,60.6,60.6,0.1485148514851485,0.0495049504950495,6.262,0.303,2.1412,0.202,0.202,0.202,0.4455445544554455,0.0495049504950495,-0.8282301147269614,0.14476482730108392,0.7967130632808964,0.021014249124350893,0.330657234711394,0.04097117753804262,0.04097117753804262,0.04097117753804262,-0.35110886000729896,0.048254942433694645,53.35836216331718,0.5216133454332813,53.83467861797704,0.086535110461855,51.3117998726967,0.16199676043628308
11,131,4.5,7.3e-07,8.3e-08,,,,,,,0.056,0.005,163.0,13.0,13.0,0.84,0.39,45.73112487792969,1.461832046508789,4.321364474431453e+28,2.9091362366311516e+28,1.713067669455916e+52,2.3146786596341357e+52,,,,,13.0,,,0.1527272727272727,0.07090909090909091,0.308,0.0275,896.5,71.5,71.5,71.5,,,15.4,1.375,2.9883333333333333,0.23833333333333334,0.23833333333333334,0.23833333333333334,1.5272727272727271,0.709090909090909,,,1.187520720836463,0.03877629302707605,0.4754290391785392,0.03463698321927775,0.03463698321927775,0.03463698321927775,0.18391659656763776,0.20163672374079547,52.23377451876868,0.5868140454589259,,,,
12,210,0.85,2e-05,2.1e-06,,,,,,,0.018,0.002,408.0,14.0,14.0,0.45,0.03,43.72211456298828,1.3564233779907227,1.7132424803801337e+28,1.070187280469347e+28,7.376961694200858e+52,9.248620539939359e+52,,,,,14.0,,,0.24324324324324323,0.016216216216216214,0.033299999999999996,0.0037,754.8000000000001,25.900000000000002,25.900000000000002,25.900000000000002,,,1.6649999999999998,0.185,2.516,0.08633333333333335,0.08633333333333335,0.08633333333333335,2.432432432432432,0.16216216216216212,,,0.22141423784233863,0.048254942433694645,0.4007106367732313,0.014902261633935113,0.014902261633935113,0.014902261633935113,0.3860407853723298,0.028952965460216785,52.86787752833565,0.5444822722707462,,,,
13,911,1.06,1.9e-05,1.9e-06,,,,,,,0.122,0.013,986.0,100.0,100.0,0.07,0.22,44.25478744506836,1.39133882522583,2.1895426577042817e+28,1.402917069450938e+28,1.1446436055163446e+53,1.4712862715743565e+53,,,,,100.0,,,0.03398058252427185,0.10679611650485436,0.25132,0.026779999999999998,2031.16,206.0,206.0,206.0,,,12.565999999999999,1.339,6.770533333333334,0.6866666666666666,0.6866666666666666,0.6866666666666666,0.33980582524271846,1.0679611650485437,,,1.0991970553799204,0.04627728085854323,0.8306228805907022,0.04404609349931559,0.04404609349931559,0.04404609349931559,-0.46876918035489656,1.364925514553077,53.058670286456525,0.5582274744430293,,,,
14,926,2.07,2.9e-06,2.9e-07,,,,,,,0.326,0.034,100.0,7.0,7.0,,,45.22595977783203,1.4055242538452148,3.4244267216057193e+28,2.2165212837333337e+28,4.273499096806742e+52,5.548678414582607e+52,,,,,7.0,,,,,1.00082,0.10438,307.0,21.49,21.49,21.49,,,50.041000000000004,5.219,1.0233333333333334,0.07163333333333333,0.07163333333333333,0.07163333333333333,,,,,1.6993259798811442,0.04529451651751706,0.010017120757524088,0.030400613733227617,0.030400613733227617,0.030400613733227617,,,52.630783616508126,0.563884620710354,,,,
15,10222,1.48,2.3e-05,7.2e-07,0.000245,9.1e-06,0.0014,0.0001,,,0.143,0.004,309.0,12.0,12.0,0.45,0.01,44.810577392578125,1.383631706237793,2.8282083506243614e+28,1.8020946195867654e+28,2.311854515360257e+53,2.9470511699034297e+53,9.929950144867864e+53,1.1884731955484278e+53,1.390193020281501e+51,1.937647395789108e+50,12.0,,,0.1814516129032258,0.004032258064516129,0.35463999999999996,0.00992,766.32,29.759999999999998,29.759999999999998,29.759999999999998,,,17.731999999999996,0.496,2.5544000000000002,0.0992,0.0992,0.0992,1.814516129032258,0.04032258064516129,,,1.2487577226272968,0.012148097395895157,0.4072889055313885,0.01686580512245638,0.01686580512245638,0.01686580512245638,0.25876083294912744,0.009650988486738928,53.363960500525195,0.5536196384642036,53.99694706804592,0.05197884613583574,51.14307510372416,0.060531851303282896
16,10921,0.45,1.8e-06,1.6e-07,,,,,1.0,0.04,0.008,0.006,89.0,14.0,22.0,4.31,0.71,42.03179168701172,1.219109058380127,7.866005742558352e+27,4.4161366324517335e+27,1.3995579559376086e+51,1.57639749868549e+51,,,,,18.0,0.6896551724137931,0.027586206896551727,2.972413793103448,0.4896551724137931,0.0116,0.0087,129.04999999999998,26.099999999999998,20.3,31.9,6.8965517241379315,0.27586206896551724,0.58,0.43499999999999994,0.4301666666666666,0.087,0.06766666666666667,0.10633333333333334,29.72413793103448,4.896551724137931,0.8386319977650252,0.01737177927613007,-0.23657200643706278,0.32572086142743883,-0.36636324583977486,0.08783483903661274,0.06831598591736546,0.10735369215586002,1.4731092679257567,0.07154271047594171,51.14599088738435,0.48916926380983455,,,,
17,20124,3.2,6.1e-07,1e-07,1.14e-05,1.1e-06,0.0041,0.00109,0.07,0.06,0.266,0.04,87.0,12.0,18.0,0.59,0.17,45.77308654785156,1.5006929636001587,4.405682857384208e+28,3.0447438498208643e+28,1.487874023676601e+52,2.0709377237716296e+52,6.620516732987218e+52,4.908401648870986e+51,2.7144118605247594e+50,7.491717558121541e+49,15.0,0.016666666666666666,0.014285714285714285,0.14047619047619048,0.04047619047619048,1.1172000000000002,0.168,365.40000000000003,63.0,50.400000000000006,75.60000000000001,0.16666666666666666,0.14285714285714285,55.86000000000001,8.4,1.2180000000000002,0.21,0.168,0.252,1.4047619047619047,0.40476190476190477,-0.7781512503836436,0.37225241305993007,1.7471009313649863,0.06530744088770703,0.08564728829685661,0.0748783589488365,0.059902687159069205,0.0898540307386038,0.1476027212442437,0.12513569817551323,52.17256616162775,0.6044845272430062,52.820891887555554,0.032198268459139735,50.43367574427529,0.11986433019935634
18,20405,0.7,7.4e-06,3.1e-07,0.00011,2.1e-06,0.00598,0.00196,,,0.104,0.007,364.0,90.0,90.0,0.48,0.09,43.56429672241211,1.3670545816421509,1.5931448581168868e+28,1.002967372720845e+28,2.3602179892512654e+52,2.9734038132589565e+52,2.0637836154025373e+53,1.7482947160090766e+52,1.2341426020107172e+51,4.177939977083712e+50,90.0,,,0.2823529411764706,0.052941176470588235,0.17679999999999998,0.011899999999999999,618.8,153.0,153.0,153.0,,,8.84,0.595,2.0626666666666664,0.51,0.51,0.51,2.8235294117647056,0.5294117647058824,,,0.9464522650130731,0.029231359358872718,0.31442905030766743,0.10738050376728754,0.10738050376728754,0.10738050376728754,0.45079231599731323,0.08143021535685972,52.37295211617217,0.5471244073426043,53.31466416022115,0.036790424259437654,51.091365344209564,0.14702160632120354
19,20813,1.25,3.8e-06,2.6e-07,0.000159,2.9e-06,0.00114,0.000292,0.15,0.01,0.164,0.004,140.0,13.0,14.0,0.59,0.05,44.866539001464844,1.4429653882980347,2.9020421905529533e+28,1.928436400111289e+28,4.021618820770054e+52,5.351891137433489e+52,7.478799912309222e+53,2.37569604065314e+52,8.525831900032514e+50,2.2005392051263137e+50,13.5,0.06666666666666667,0.0044444444444444444,0.2622222222222222,0.022222222222222223,0.369,0.009000000000000001,315.0,30.375,29.25,31.5,0.6666666666666666,0.04444444444444444,18.45,0.45000000000000007,1.05,0.10125,0.0975,0.105,2.622222222222222,0.2222222222222222,-0.17609125905568127,0.028952965460216782,1.2659963704950792,0.010592548339103704,0.021189299069938092,0.04187839646924214,0.0403273447481591,0.043429448190325175,0.41866949353078164,0.03680461711044507,52.6044009046791,0.577950544872681,53.873831914271385,0.013795685046165233,50.930736765607854,0.11209252600845689
20,21004,2.32,2.3e-07,5.5e-08,3.61e-06,8.6e-07,0.0104,0.00256,0.71,0.19,0.035,0.067,80.0,23.0,53.0,1.23,0.96,45.45896530151367,1.5059316158294678,3.812316792049e+28,2.6438689073572485e+28,4.2006419396547694e+51,5.9123076029029754e+51,1.9858980359027919e+52,1.7806217224526465e+51,2.0653339573389034e+50,5.410671358943973e+49,38.0,0.21385542168674698,0.057228915662650606,0.3704819277108434,0.2891566265060241,0.11620000000000001,0.22244,265.59999999999997,126.16,76.36,175.95999999999998,2.13855421686747,0.572289156626506,5.8100000000000005,11.122,0.8853333333333332,0.4205333333333333,0.25453333333333333,0.5865333333333332,3.7048192771084336,2.8915662650602405,0.330120265015039,0.11621965008678568,0.7641761323903308,0.8313637225005105,-0.05289318402368262,0.20628987890404463,0.12485966354718492,0.28772009426090434,0.5687670277353616,0.3389615468513184,51.623315664099415,0.6112595655954504,52.29795694628345,0.038940276612273214,50.314990285582226,0.11377456445876613
21,21211,1.01,2.3e-06,1.7e-07,,,,,0.31,0.01,0.006,0.003,46.0,6.0,8.0,0.57,0.01,44.30247497558594,1.3479738235473633,2.2381589023205207e+28,1.389370456675366e+28,1.447836542410336e+52,1.800714833603736e+52,,,,,7.0,0.15422885572139305,0.0049751243781094535,0.2835820895522388,0.0049751243781094535,0.01206,0.00603,92.46,14.069999999999999,12.059999999999999,16.08,1.5422885572139304,0.04975124378109453,0.603,0.3015,0.3082,0.0469,0.04019999999999999,0.053599999999999995,2.835820895522388,0.04975124378109453,0.1881656364137838,0.01400949941623393,-0.2196826878598487,0.21714724095162588,-0.5111673656175996,0.06608829072440789,0.05664710633520675,0.07552947511360901,0.4526787982520025,0.007619201436899156,52.160719533728326,0.5401442033045428,,,,
22,30115,2.5,3.2e-07,5.1e-08,,,,,0.44,0.06,0.02,0.02,83.0,22.0,53.0,0.7,0.4,45.814754486083984,1.5388208627700806,4.491038922124218e+28,3.1825890849871542e+28,8.110609280020229e+51,1.1567667592019326e+52,,,,,37.5,0.12571428571428572,0.017142857142857144,0.19999999999999998,0.1142857142857143,0.07,0.07,290.5,131.25,77.0,185.5,1.2571428571428571,0.17142857142857143,3.5000000000000004,3.5000000000000004,0.9683333333333334,0.4375,0.25666666666666665,0.6183333333333333,1.9999999999999998,1.1428571428571428,0.09938463213591178,0.059221974804988885,0.5440680443502757,0.43429448190325176,-0.013975117993312877,0.1962173864020716,0.11511420002254866,0.2773205727815945,0.30102999566398114,0.24816827537328676,51.90905348022986,0.6194077448756772,,,,
23,30226,1.98,2.6e-07,4.7e-08,8.33e-06,9.8e-07,0.00272,0.000682,0.31,0.22,0.033,0.029,97.0,17.0,27.0,1.76,1.15,45.612850189208984,1.4896843433380127,4.092285827318112e+28,2.807410353778291e+28,5.47160995625223e+51,7.572199500004752e+51,5.882616279760077e+52,2.5284797986242017e+51,1.600071628094741e+50,4.0704658632877083e+49,22.0,0.1040268456375839,0.0738255033557047,0.5906040268456376,0.3859060402684564,0.09834000000000001,0.08642000000000001,289.06,65.56,50.66,80.46,1.0402684563758389,0.738255033557047,4.917000000000001,4.321000000000001,0.9635333333333334,0.21853333333333333,0.16886666666666666,0.2682,5.906040268456376,3.8590604026845634,0.01714542975801742,0.30820898715714645,0.6917002082901615,0.38165272652103943,-0.016133256377162345,0.09849977940073751,0.07611346590056989,0.12088609290090513,0.7712964037378947,0.28377196260723836,51.73811513113077,0.601023187876338,52.76957052049048,0.018666946336862254,50.20413942452468,0.11048135796935316
24,30323,3.37,1.2e-07,6e-08,,,,,,,0.021,0.338,44.0,26.0,90.0,,,45.55162048339844,1.4792747497558594,3.978506009601195e+28,2.710282412966999e+28,2.38688308551651e+51,3.464109808287204e+51,,,,,58.0,,,,,0.09177,1.47706,192.28,253.46,113.62,393.3,,,4.5885,73.853,0.6409333333333334,0.8448666666666667,0.37873333333333337,1.311,,,,,0.6616707360403599,6.990073089680909,-0.19318714126305314,0.5724790897815591,0.25662855748828517,0.8883296220748332,,,51.37783114688335,0.6302963825815162,,,,
25,30328,1.52,1.6e-06,1.1e-07,6.14e-05,2.4e-06,0.00196,0.000492,0.08,0.08,0.024,0.003,130.0,13.0,14.0,1.69,0.81,45.188865661621094,1.4268447160720825,3.3664258581758505e+28,2.2120322260307646e+28,2.2785992745801663e+52,2.9985674310813583e+52,3.4698907603973764e+53,1.188808287177385e+52,6.800985890378857e+50,1.7230139001180022e+50,13.5,0.031746031746031744,0.031746031746031744,0.6706349206349206,0.32142857142857145,0.06048,0.00756,327.6,34.02,32.76,35.28,0.31746031746031744,0.31746031746031744,3.024,0.378,1.092,0.11340000000000001,0.10919999999999999,0.11760000000000001,6.706349206349206,3.2142857142857144,-0.49831055378960054,0.4342944819032518,0.48058178682916897,0.05428681023790648,0.038222638368718455,0.045099811582260764,0.043429448190325175,0.046770174974196346,0.8264861638321294,0.20815297653351122,52.357667954780716,0.5715183461442055,53.540315802484415,0.014879225739742543,50.83257187384089,0.11002749323777296
26,30329,0.17,2e-05,1e-06,0.000231,2e-06,0.00489,0.000862,0.15,0.01,0.065,0.002,68.0,2.0,2.0,0.66,0.01,39.361412048339844,1.113918662071228,2.299737841148526e+27,1.1797160709481073e+27,1.3292189448257997e+51,1.3653400104081052e+51,1.312177676302392e+52,1.1656154211635881e+51,6.416548837118698e+49,1.2665957332121208e+49,2.0,0.12820512820512822,0.008547008547008548,0.5641025641025642,0.008547008547008548,0.07604999999999999,0.00234,79.56,2.34,2.34,2.34,1.2820512820512822,0.08547008547008547,3.8024999999999998,0.117,0.2652,0.0078,0.0078,0.0078,5.641025641025641,0.08547008547008547,0.10790539730951963,0.028952965460216785,0.5800692227250359,0.01336290713548467,-0.5764264802672645,0.012773367114801523,0.012773367114801523,0.012773367114801523,0.7513580737957071,0.006580219422776542,51.12359652247628,0.44609628440082044,52.11799264495828,0.038578643317509265,49.8073015040819,0.08572763204951067
